Question,Options,Correct Answer,Predicted Answer,Match
Which MITRE ATT&CK technique ID is associated with the use of timers or other triggers to avoid a virtual machine environment (VME) or sandbox?,"['A. T1497.001', 'B. T1497.002', 'C. T1497.003', 'D. T1497.004']",C,B,False
"An adversary uses ""overpassing the hash"" to authenticate as a user and generate a valid Kerberos ticket. Which of the following is not an action involved in this technique?","['Using an NTLM password hash to authenticate', 'Using the password hash to create a valid Kerberos ticket', ""Finding a user's service tickets"", 'Finding the NTLM hash of the user']",C,C,True
How do adversaries use compromised service account tokens to perform Peirates operations?,"['Adversaries can use stolen service account tokens to perform Peirates operations and switch between valid service accounts', 'Adversaries use these tokens to brute force other accounts', 'Adversaries use these tokens to disable security features', 'Adversaries use these tokens to encrypt data']",A,A,True
What technique involves using a compromised account to access and control remote systems?,"['Remote Desktop Protocol (T1076)', 'Valid Accounts (T1078)', 'Process Injection (T1055)', 'Exfiltration Over Command and Control (T1041)']",A,B,False
Which MITRE ATT&CK technique is used when an adversary collects command and control (C2) information via a dead drop resolver?,"['T1055: Credential Dumping', 'T1086: PowerShell', 'T1088: Data from Local System', 'T1102: External Web Services']",D,C,False
What is the focus of the Shared Threat Space concept?,"['The identification of shared infrastructure used by adversaries.', 'The identification of shared capabilities used by adversaries.', 'The identification of victims and adversaries that share common features to satisfy the needs of one or more adversaries.', 'The identification of the most appropriate detection locations, data types, and capabilities for an adversary.']",C,C,True
Which of the following best describes the function of a Threat Intelligence Feed (TIF) in incident handling?,"['Providing alerts for known threats and vulnerabilities', 'Facilitating the sharing of threat information among organizations', 'Automating the incident response process', 'Analyzing threat data and providing insights on potential threats']",B,B,True
How do attackers typically use time delays to avoid detection by sandboxes?,"['Delayed Code Execution', 'Exploitation of Vulnerabilities', 'Virtualization/Sandbox Evasion', 'Direct System Control']",A,C,False
"When using the APWG schema for threat information sharing, which tag is used to specify that the information is intended only for internal use?","['A. Recipient only', 'B. With affected parties only', 'C. No attribution permitted', 'D. Internal use only']",A,D,False
What is the primary focus of the identification phase in incident response?,"['Detecting and confirming the occurrence of an incident', 'Restoring normal operations', 'Analyzing the cause of the incident', 'Communicating with stakeholders']",A,A,True
Which organization's guidance is not directly applicable for organizations outside of the federal government when it comes to defining PII?,"['NIST', 'OMB', 'NIST SP 800-122', 'NIST SP 800-53 Rev. 4']",C,B,False
An organization is investigating an incident and needs to preserve evidence according to chain of custody requirements. Which NIST publication provides guidance on data preservation following chain of custody requirements?:,"['NIST Special Publication 800-86', 'NIST Special Publication 800-61', 'NIST Special Publication 800-88', 'NIST Software Assurance Metrics and Tool Evaluation (SAMATE) project']",C,C,True
"Which group within an organization is responsible for establishing incident response policy, budget, and staffing?","['Management', 'Information Assurance', 'IT Support', 'Legal Department']",A,D,False
A cybersecurity analyst has seen a user authenticate to a web application from multiple different IP addresses within a short period of time. This could be an indication of?,"['A legitimate user working from multiple locations.', 'A user using a virtual private network (VPN).', 'An unauthorized user accessing the web application repeatedly.', 'A user accessing the application from a remote desktop protocol (RDP).']",C,C,True
What is the purpose of the technology meta-feature in the model?,"['To analyze the technologies involved in adversary activity and determine the most appropriate detection locations, data types, and capabilities.', 'To analyze the infrastructure and capability used by adversaries to operate and communicate in a single entity.', 'To analyze the technology connecting and enabling the infrastructure and the capability to operate and communicate across multiple entities.', 'To analyze the technology used by victims to identify their needs and intent.']",C,A,False
Which of the following is a technique that an attacker may use to exfiltrate data from a compromised system?,"['Data Encryption', 'Network Scanning', 'Privilege Escalation', 'Exfiltration']",D,D,True
